"TABELA DE PRECO : 175                       Emissão 30/12/2024 15:19:02 Fl.1"
"DIVERSOS"
"ALHO FRITO                     KG   47,60"
"ALHO S/ CASCA                  KG   31,50"
"BATATA LAVADA                  KG    4,45"
"CEBOLA GRAUDA                  KG    2,92"
"CEBOLA ROXA                    KG    6,65"
"COLORAU EM PO                  KG   18,00"
"COMINHO PO                     KG   43,50"
"CURCUMA PO                     KG   27,50"
"ERVAS FINAS SECAS              KG   77,50"
"GERGELIN PRETO                 KG   40,60"
"LOURO SECO                     KG   58,50"
"NOZ MOSCADA PO                 KG   99,80"
"OREGANO SECO                   KG   56,80"
"OVO DE CODORNA CONSERVA        KG   34,00"
"OVOS GRANDES EMB.              UN    0,69"
"PAPRICA DOCE                   KG   21,00"
"PAPRICA PICANTE                KG   21,00"
"PIMENTA DO REINO MOIDA PRETA   KG   89,50"
""
"FRUTAS"
"LARANJA T13                    KG    6,40"
"LIMAO TAITI GRAUDO             KG    5,30"
"MACA VERMELHA T 120            KG   12,50"
"MANGA TOMMY T 8                KG    5,50"
""
"LEGUMES"
"ABOBRINHA ITALIANA AA          KG    5,50"
"BETERRABA AA                   KG    2,75"
"CENOURA AA                     KG    5,50"
"GENGIBRE                       KG   14,50"
"PEPINO JAPONES AA              KG    4,60"
"PIMENTAO AMARELO AA            KG   12,50"
"PIMENTAO VERDE AA              KG    8,30"
"PIMENTAO VERMELHO AA           KG   11,90"
"TOMATE CEREJA                  KG   20,50"
"TOMATE SALADA CARMEM           KG    4,65"
""
"VERDURAS"
"ALFACE AMERICANA               KG   11,90"
"ALFACE CRESPA                  KG    9,95"
"ALFACE ROXA                    KG   16,90"
"BROCOLOS JAPONES               KG   13,50"
"CEBOLINHA                      KG   11,50"
"COENTRO                        KG   28,50"
"COUVE MANTEIGA                 KG    6,80"
"MANJERICAO                     KG   58,00"
"RUCULA HIDROPONICA             KG   12,50"
"SALSA                          KG   12,80"
"SALSAO                         KG    8,30"
""
"TOTAL ITENS 43"
""
